CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
150_SP_TLP,TOPILEJO,TLALPAN,SUR PONIENTE,HP 705,15 / 35,3,0%,0,0
106_SP_COY,TOPILTZIN,COYOACAN,SUR PONIENTE,HP 705,10 / 23,0,0%,0,0
172_NT_GAM,TRES ESTRELLAS,GUSTAVO A. MADERO,NORTE,HP 705,20 / 30,2,0%,0,0
195_CO_BEJ,VALENTÍN GÓMEZ FARÍAS,BENITO JUAREZ,CENTRO,DELL 5090,30 / 30,0,0%,0,0
142_IZ_IZP,VALLE DE LUCES,IZTAPALAPA,ORIENTE,HP 705,10 / 40,0,0%,0,0
135_NT_GAM,VASCO DE QUIROGA,GUSTAVO A. MADERO,NORTE,HP 705,5 / 40,1,0%,0,0
094_CO_VCA,VIADUCTO,VENUSTIANO CARRANZA,CENTRO,HP 705,18 / 24,0,0%,0,0
271_IZ_IZP,VICENTE GUERRERO,IZTAPALAPA,ORIENTE,DELL 5090,40 / 40,3,0%,0,0
066_IZ_IZP,VILLA CID,IZTAPALAPA,ORIENTE,HP 705,15 / 32,1,0%,0,0
212_NT_GAM,VILLA DE ARAGÓN,GUSTAVO A. MADERO,NORTE,HP 705,39 / 39,8,0%,0,0
046_SP_COY,VILLA PANAMERICANA,COYOACAN,SUR PONIENTE,HP 705,0 / 31,5,0%,0,0
193_NT_AZC,VIRGILIO CABALLERO,AZCAPOTZALCO,NORTE,DELL 5090,29 / 30,1,0%,0,0
256_IZ_IZP,VIVERO NEZAHUALCÓYOTL,XOCHIMILCO,ORIENTE,DELL 5000,40 / 40,1,0%,0,0
002_NT_AZC,XALLI,AZCAPOTZALCO,NORTE,DELL 3060,10 / 24,0,0%,0,0
049_SU_MIA,XALTIPAC,MILPA ALTA,SUR,HP 705,10 / 25,0,0%,0,0
062_NT_AZC,XOCHINAHUAC,AZCAPOTZALCO,NORTE,HP 705 (27) / DELL 5000 (2),5 / 29,3,0%,0,0
068_IZ_IZP,YAUTLICA,IZTAPALAPA,ORIENTE,HP 705,10 / 40,5,0%,0,0
272_IZ_IZP,ZACATEPEC,IZTAPALAPA,ORIENTE,HP 705,10 / 40,1,0%,0,0
031_CO_IZT,ZAPATA VELA,IZTACALCO,CENTRO,HP 705,10 / 40,0,0%,0,0
109_PT_CUM,ZENTLAPATL,CUAJIMALPA DE MORELOS,PONIENTE,HP 705,10 / 24,0,0%,0,0
034_CO_CUH,ZONA ROSA,CUAUHTEMOC,CENTRO,HP 705,10 / 34,0,0%,0,0
287_IZ_IZP,ÁLVARO OBREGÓN,IZTAPALAPA,ORIENTE,DELL 5000,40 / 40,5,0%,0,0
043_PT_AOB,ÁRBOL DEL CONOCIMIENTO,ALVARO OBREGON,PONIENTE,HP 705,10 / 37,0,0%,0,0
